,name,latitude,longitude,delivery_review_number,location
0,Cafe Delhi Heights,12.9724788000,77.6071299000,44,"Forum Rex Walk, Bangalore"
1,Ouro,12.9724394053,77.6068553589,0,"Forum Rex Walk, Bangalore"
2,The Bier Library,12.9389827298,77.6262697577,695,"Koramangala 6th Block, Bangalore"
3,Bombay Borough,12.9667750000,77.6083056000,55,"Richmond Road, Bangalore"
4,Pangeo,12.9726391000,77.6065987000,0,"Forum Rex Walk, Bangalore"
5,Over Coffee Cafe & Wine Bar,12.9749781000,77.5995181000,15,"Lavelle Road, Bangalore"
6,Farzi Cafe,12.9721921000,77.5958051000,144,"UB City, Bangalore"
7,Mayuri,12.9129220075,77.5858133286,"3,146","JP Nagar, Bangalore"
8,ShakesBierre,12.9710730531,77.6069598645,117,"Eva Mall, Brigade Road, Bangalore"
9,No Limmits Lounge And Club,12.9701866573,77.6107833534,0,"Brigade Road, Bangalore"
10,Sarjapur SOCIAL,12.9100295081,77.6855392009,"3,376","Sarjapur Road, Bangalore"
11,KOKO,12.9602510000,77.6477280000,4,"Old Airport Road, Bangalore"
12,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,13.0128107763,77.5550356507,112,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore"
13,Lono,12.9752230294,77.6471403614,112,"Indiranagar, Bangalore"
14,Toit,12.9792507467,77.6405545324,"1,051","Indiranagar, Bangalore"
15,Foo Brigade Road,12.9724479000,77.6068567000,304,"Forum Rex Walk, Bangalore"
16,RCB Bar & Cafe,12.9754919162,77.6029254869,201,"1 Sobha, Bangalore"
17,2 MOONS,12.9732638682,77.6203679189,2,"1 MG Road Mall, MG Road, Bangalore"
18,Roxie,12.9151978000,77.6658216000,73,"Sarjapur Road, Bangalore"
19,Maffei Kitchen,12.9350682835,77.6228172032,357,"Koramangala 5th Block, Bangalore"
20,Amintiri,12.9736780000,77.6033060000,0,"Church Street, Bangalore"
21,Citrus - The Leela Palace,12.9609526625,77.6491996273,142,"The Leela Palace, Old Airport Road, Bangalore"
22,Long Boat Brewing Co.,12.9520476337,77.7003846423,647,"Marathahalli, Bangalore"
23,Muro,12.9744070316,77.6031185938,0,"Church Street, Bangalore"
24,Ministry of Food - Hilton Bangalore Embassy GolfLinks,12.9491174099,77.6455068961,212,"Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore"
25,Jugni Kitchen & Bar,12.9360187778,77.6216095304,0,"Koramangala 5th Block, Bangalore"
26,Oia,13.0737438079,77.6525560905,0,"Hennur, Bangalore"
27,Just BLR,12.9732793377,77.6073094060,0,"Brigade Road, Bangalore"
28,Tim Hortons,12.9399105551,77.6196683300,537,"Koramangala 8th Block, Bangalore"
29,Jook Taproom,12.9833046000,77.6402794000,49,"Indiranagar, Bangalore"
30,Jamavar - The Leela Palace,12.9610343461,77.6491647586,0,"The Leela Palace, Old Airport Road, Bangalore"
31,XOOX Brewmill,12.9355347012,77.6152140275,175,"Koramangala 5th Block, Bangalore"
32,Uru Brewpark,12.9061650558,77.6016219333,"4,083","JP Nagar, Bangalore"
33,Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,12.9889036000,77.7291611000,103,"Sheraton Grand Bengaluru, Whitefield, Bangalore"
34,K-OS TheGameBar,12.9350422618,77.6134323701,21,"Koramangala 7th Block, Bangalore"
35,Ironhill Bengaluru,12.9509635398,77.6994350553,152,"Marathahalli, Bangalore"
36,Terrace By House Of Commons,12.9142671014,77.5859139115,0,"JP Nagar, Bangalore"
37,Macaw By Stories,12.8842531703,77.6434420334,18,"Bommanahalli, Bangalore"
38,The Pizza Bakery,12.9336550000,77.6148200000,856,"Koramangala 5th Block, Bangalore"
39,North Star Cafe,12.9118042456,77.6389737266,21,"HSR, Bangalore"
40,Grazers Resto - Bar,12.9328970186,77.5841553882,"3,331","Jayanagar, Bangalore"
41,Stories Brewery & Kitchen,12.9058268113,77.6084169745,435,"BTM, Bangalore"
42,Zen - The Leela Palace,12.9600891022,77.6485833898,0,"The Leela Palace, Old Airport Road, Bangalore"
43,Homiga,12.9724763845,77.6069687438,0,"Forum Rex Walk, Bangalore"
44,The Weekly Brewhouse & Kitchen,12.9350520648,77.6088811115,11,"Hosur Road, Bangalore"
45,Asia Alive - DoubleTree Suites By Hilton,12.9189900000,77.6652830000,144,"DoubleTree Suites By Hilton, Sarjapur, Bangalore"
46,Chowman,,,"8,383","Indiranagar, Bangalore"
47,The Hole In The Wall Cafe,12.9345047273,77.6255341619,"7,912","Koramangala 4th Block, Bangalore"
48,Geometry Brewery & Kitchen,13.0080250710,77.5570546836,44,"Malleshwaram, Bangalore"
49,Quattro - The Leela Bhartiya City Bengaluru,13.0844403000,77.6428949000,259,"The Leela - Bhartiya City, Bangalore"
50,1131 Bar + Kitchen By House Of Commons,12.9699422690,77.6415288448,396,"Indiranagar, Bangalore"
51,Lush - Renaissance Hotel,,,144,"Renaissance Hotel, Race Course Road, Bangalore"
52,The Terrace at Gilly's Redefined,12.9335933669,77.6233997941,6,"Gilly's Redefined, Koramangala 4th Block, Bangalore"
53,Biergarten,12.9824531406,77.7086497843,"2,442","Whitefield, Bangalore"
54,Cafe Grey By Dongle & Co,,,250,"Indiranagar, Bangalore"
55,F5,,,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
56,154 Breakfast Club,12.9065510135,77.5925409794,647,"JP Nagar, Bangalore"
57,Street 1522,12.9033077389,77.7044285253,33,"Sarjapur Road, Bangalore"
58,The Market - The Ritz-Carlton,12.9672761000,77.6018209000,60,"The Ritz-Carlton, Bangalore"
59,Daddy,12.9699481500,77.6399108022,142,"Indiranagar, Bangalore"
60,SLAY Coffee Bar,12.9569887909,77.7326504526,"1,140","Miraya Rose, Bangalore"
61,Phurr,12.9328548629,77.5829553031,0,"Jayanagar, Bangalore"
62,The Kind Roastery & Brew Room,12.9105273000,77.5895549000,57,"JP Nagar, Bangalore"
63,The Square - Novotel,12.9294462916,77.6834259555,0,"Novotel Bengaluru, Marathahalli, Bangalore"
64,Tastique,13.0404433000,77.6193776000,12,"Nagawara, Bangalore"
65,Brik Oven,,,"2,393","Indiranagar, Bangalore"
66,Magique,12.9376839733,77.6269684302,9,"Koramangala 6th Block, Bangalore"
67,Melange,12.9497656808,77.6992918924,21,"Radisson Blu, Marathahalli, Bangalore"
68,Nusa,,,0,"Varthur Main Road, Whitefield, Bangalore"
69,Restaurant Chef Pillai,12.9706523000,77.6069890000,433,"Brigade Road, Bangalore"
